ingredient,recipe
onion,"Bacon Cheese Frittata;Green Tomato and Bell Pepper Delight;Zucchini Herb Casserole;Easy Meatloaf;Winter Leek and Potato Soup;Fresh Broccoli Salad;Roasted Beets and Sauteed Beet Greens;Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Cabbage Fat-Burning Soup;Green Risotto with Fava Beans;Rich and Simple French Onion Soup;Quick Creamy Zucchini Soup;Southwestern Cauliflower and Ham Soup;Delicious Egg Salad for Sandwiches;Hungarian Mushroom Soup;Thai Red Chicken Curry;Smooth Cauliflower Soup;Caldo de Res (Mexican Beef Soup);Golden Potato Soup;Eggy Veggie Bake;Cream of Fresh Asparagus Soup II;Judy's Hearty Vegetable Minestrone Soup;Chorizo Breakfast Tacos with Potato Hash and Eggs;Jamie's Minestrone;Shrimp and Cheesy Grits with Bacon;Cheesiest Potato Soup;Country Sunday Breakfast Casserole;Spicy Black Bean Vegetable Soup;Chicken Makhani (Indian Butter Chicken);Summer Zucchini Stew;Pad Kee Mow (Drunkard's Noodles);Creamy Au Gratin Potatoes;Old Charleston Style Shrimp and Grits;Strawberry Spinach Salad I;White Bean Chicken Chili;Tortellini Minestrone Soup;Winter Green Salad;Hash Brown Casserole II;Baja-Style Fish Tacos;Fresh Tomato Salsa;Summer Squash Soup;Cream of Cauliflower Soup II;Lentil Salad with a Persian Twist;Honey Roasted Red Potatoes;Creamy Ham and Cheese Quiche;Delicious Ham and Potato Soup;Thai Chicken Curry in Coconut Milk;Baked Denver Omelet;Easy Broccoli Quiche;Chicken and Artichoke Minestrone;Super Easy Egg Casserole;Easy Mexican Casserole;Black Bean Huevos Rancheros;Laura's Quick Slow Cooker Turkey Chili;Roasted Cauliflower Soup;Easy Minestrone;Classic Minestrone Soup;Kickin' Collard Greens;Zucchini and Pork Soup;Red Skinned Potato Salad;Holiday Chicken Salad;All-American Loaded Baked Potato Salad;Butternut Squash Soup II;Cedar Planked Salmon;Bodacious Broccoli Salad;Winter Root Soup;Awesome Slow Cooker Pot Roast Plus Extras;Peanut Butter Noodles;Classic Macaroni Salad;Irish Chicken and Dumplings;American French Onion Soup;Kedgeree;Slow Cooker Beef Pot Roast;Spicy Basil Chicken;Green Tomato Casserole;Sweet Potato Minestrone;Yellow Dhal - Sweet Potato Soup;Mama's Hearty Minestrone;Chicken Fiesta Salad;Cape Malay Pickled Fish;Air Fryer Breakfast Frittata;Firecracker Grilled Alaska Salmon;Pad Thai;Thai Pineapple Chicken Curry;Broccoli Souffle;Quiche Lorraine I;Chakchouka (Shakshouka);Slow Cooker Chicken with Mushroom Wine Sauce;Split Pea Soup;Jamie's Cranberry Spinach Salad;Cream of Cauliflower and Stilton Soup;Black Bean and Couscous Salad;Tuna Salad Muffins;Broiled Tilapia Parmesan;Lena's Minestrone;Russian Green Bean and Potato Soup;Mexican Zucchini Cheese Soup;Pumpkin Soup;Homemade Deviled Ham Sandwiches;Broccoli and Rice Stir Fry;Thai Red Curry Paste;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Herb Watermelon Feta Salad;Turkey Carcass Soup;Zucchini Soup II;Clark's Quiche;Homemade Sweet Italian Sausage (Mild or Hot);Afghan Tomato Soup (Aush Goshti);Italian Sausage Soup with Tortellini;Croissant and Salmon Breakfast Casserole;Sausage Casserole;Jersey Fresh Tomato Soup;Navy Bean Soup I;French Onion Soup Gratinee;Authentic German Potato Salad;Quick Quiche;Beef Barley Vegetable Soup;Thai Noodle Salad;Broccoli Rice Casserole;New Orleans Barbeque Shrimp;Slow Cooker Chicken and Dumplings;Refried Beans Without the Refry;Green Tomato Pasta Toss;World's Best Lasagna;Eggplant Caponata (Sicilian Version);Thai Chicken with Basil Stir Fry;Old Fashioned Potato Salad;Momma's Shrimp and Cheese Grits;Roasted Vegetables;Beef, Green Chili and Tomato Stew;Spicy Garlic Lime Chicken;Creamy, Cheesy Zucchini Soup;Old Fashioned Onion Rings;Smoked Salmon and Egg Salad;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Sweet Restaurant Slaw;Andrea's Pasta Fagioli;Chef John's Ham and Potato Soup;Crabmeat Quiche;Spinach and Potato Frittata;Picante Chicken Chili;Smoked Salmon Pizette;The Best Bean and Ham Soup;Authentic Chicken Tikka Masala;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Zucchini Tomato Soup I;Scrambled Egg Muffins;Spinach Quiche;Vegan Red Lentil Soup;Curried Cauliflower Soup;Simple Cauliflower Soup;Old-World Cabbage Soup;Fried Cabbage with Bacon, Onion, and Garlic;Roasted Apples and Brussels Sprouts;Best Darn Minestrone Soup Around;Hash Brown and Pork Chop Casserole;Vegetable Beef Minestrone;Daddy's Fried Corn and Onions;Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Minestrone Soup I;Make-Ahead Breakfast Bars;Barbie's Tuna Salad;Shrimp and Veggie Stew;Cindy's Coleslaw;Chef John's Quiche Lorraine;Mulligatawny Soup I;Cauliflower Potato Soup;Perfect Ten Baked Cod;New Wife Tuna Salad;Kecia's Broccoli Salad;Thai Green Curry Chicken;Sarah's Fried Green Tomatoes;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Aussie Breakfast Egg Mess;Saltfish Buljol;Curried Butternut Squash Soup;Zucchini Gazpacho;Sean's Falafel and Cucumber Sauce;Tom Ka Gai (Coconut Chicken Soup);Fresh Tomato Zucchini Soup;Copycat Panera Broccoli Cheddar Soup;Keto Instant Pot Soup (Low Carb);Hash Brown and Egg Casserole;Browned Butter Vegetables with Almonds;Zesty Quinoa Salad;Red Curry Coconut Squash Soup;Summer Corn Salad;Angela's Awesome Enchiladas;Greek Chicken Pasta;Crab Brunch Casserole;Easy Beef Stew for the Slow Cooker;Minestrone Soup II;Curry Stand Chicken Tikka Masala Sauce;Curried Coconut Chicken;Bean Soup With Kale;Curried Zucchini Soup;Butternut Squash and Turkey Chili;Chinese Chicken Fried Rice II;Zucchini Patties;Spicy Garlic and Pepper Shrimp;Mama Kathy's Minestrone;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Slow Cooker Thai Peanut Pork;Amazing Muffin Cups;Butternut and Acorn Squash Soup;Fat Granny's Minestrone Soup;Shrimp Quiche;Crustless Spinach Quiche;Kathy's Cabbage Soup;Baked Potato Soup I;Bacon, Potato, and Egg Taco Ole;Miso Soup;Curried Cream of Cauliflower Soup;Simple Turkey Chili;Turkey Veggie Meatloaf Cups;Cheesy Amish Breakfast Casserole;Baked Milk Fish;Herb 'n Honey Cucumber Tomato Salad;Quinoa Black Bean Burgers;Black Bean and Corn Salad II;Beef and Guinness Stew;Green Tomato Relish;Indian Fish Curry;Spicy Edam Shrimp Quiche;Thai Chicken Balls;Healing Cabbage Soup;Cauliflower-Cheese Soup;Brown Sugar Meatloaf;Sheet Pan Chicken Fajitas;Breakfast Pies;Pan Fried Brussels Sprouts;The Most Easy and Delish Meatloaf EVER!;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Fried Green Tomatoes with Shrimp Remoulade;Wonton Soup;Absolutely Ultimate Potato Soup;The Best Meatloaf;Smoked Salmon Frittata;Zucchini Gazpacho with Basil Cream;Fantastic Black Bean Chili;Cauliflower and White Cheddar Cheese Soup;Carrot and Ginger Soup;Greek Salad I;Best Italian Sausage Soup;Homemade Black Bean Veggie Burgers;Slow Cook Thai Chicken;Zucchini Tomato Soup II;Veggie Pesto Soup;Broccoli Cheese Bake;Roasted Beets 'n' Sweets;Corrigan's Minestrone;Day-After-Thanksgiving Turkey Carcass Soup;Asparagus, Potato, and Onion Frittata;Super-Delicious Zuppa Toscana;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Ratatouille;Quinoa and Black Beans;Butternut and Apple Harvest Soup;Garden Fresh Tomato Soup;Garden Veggie Zucchini Soup;Prosciutto Fave Minestrone alla Riso ;Creamy Corn Chowder;Red Lentil Curry;Light and Fluffy Spinach Quiche;Savory Bacon and Crab Bread Pudding Eggs Benedict;Easy Bacon and Cheese Quiche;Slow Cooker Beef Stew I;Beaker's Vegetable Barley Soup;Marinated Cucumber, Onion, and Tomato Salad;Spicy Chipotle Sweet Potato Soup;Roasted Sage Broccoli;RITZ ""Everything"" Bites with Lox and Schmear;Chef John's Shrimp and Grits ;Slow Cooker Zucchini Soup;Cheesy Sausage and Vegetable Soup;Rach's Broccoli Casserole;Mini Spinach and Crab Quiche;Sausage, Peppers, Onions, and Potato Bake;Insanely Easy Vegetarian Chili;Lactose Free Corn Chowder;Chef John's Chicken Tikka Masala;Roasted Yam and Kale Salad;Baked Potato Soup V;Chinese Cold Pasta Salad;Sharon's Awesome Chicago Chili;Zucchini Soup with Herbs;Grandma's Slow Cooker Vegetarian Chili;Salmon and Swiss Chard Quiche;Chef John's Minestrone Soup;Slow-Cooker Corned Beef and Cabbage  ;Split Pea Soup with Rosemary;Macho Minestrone;Vegetarian Chickpea Sandwich Filling;Cabbage and Smoked Sausage Soup;Thai Spicy Basil Chicken Fried Rice;Sweet Russian Cabbage Soup;Jill's Hash Brown Casserole;Disney's Ratatouille;Vegan Black Bean Soup;Mexican Bean Salad;Broccoli and Tortellini Salad;Mediterranean Greek Salad;Broccoli Cheese Soup;Winter Fruit Salad with Lemon Poppyseed Dressing;Baked Ziti I;Nichole's Chicken Cauliflower Soup;Alyson's Broccoli Salad;Roquefort Pear Salad;Ultimate Twice Baked Potatoes;Garlic Shrimp and Cheesy Grits;Slow Cooker Texas Pulled Pork;Broccoli Cauliflower Casserole;Shrimp and Grits Louisiana Style;Chicken Pot Pie IX;Best White Chicken Chili;Shanghai Noodle Salad;Israeli Tomato and Cucumber Salad;Baked Beans, Texas Ranger"
orange,Apricot Glazed Carrots;Perfect Summer Fruit Salad
orange juice,Pork Chops with Raspberry Sauce;Apple Orchard Punch;Blueberry Waffles with Fast Blueberry Sauce;Sicilian Sunset;Perfect Summer Fruit Salad
oregano,"Zucchini Herb Casserole;Jamie's Minestrone;Summer Zucchini Stew;White Bean Chicken Chili;Winter Green Salad;Chicken Souvlaki with Tzatziki Sauce;Egg and Sausage Casserole;Easy Minestrone;Zucchini and Pork Soup;Mama's Hearty Minestrone;Lena's Minestrone;Mexican Zucchini Cheese Soup;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Homemade Sweet Italian Sausage (Mild or Hot);Italian Sausage Soup with Tortellini;Eggplant Caponata (Sicilian Version);Beef, Green Chili and Tomato Stew;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Andrea's Pasta Fagioli;Oven Roasted Potatoes;The Best Vegetarian Chili in the World;Zucchini Tomato Soup I;Greek Chicken Pasta;Minestrone Soup II;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Simple Turkey Chili;Absolutely The Best Shrimp Scampi;Sheet Pan Chicken Fajitas;Fantastic Black Bean Chili;Greek Salad I;Best Italian Sausage Soup;Zucchini Tomato Soup II;Corrigan's Minestrone;Baked Broccoli;Slow Cooker Zucchini Soup;Creamy Zucchini Soup;Insanely Easy Vegetarian Chili;Mediterranean Zucchini 'Pasta' Salad;Sharon's Awesome Chicago Chili;Grandma's Slow Cooker Vegetarian Chili;Antipasto Pasta Salad;Slow Cooker Carnitas;Best White Chicken Chili;Lentil Soup"
oyster,Pad Kee Mow (Drunkard's Noodles);Zucchini and Pork Soup;Spicy Basil Chicken;Spicy Thai Basil Chicken (Pad Krapow Gai);Thai Spicy Basil Chicken Fried Rice
palm,Pad Kee Mow (Drunkard's Noodles);Panang Curry with Chicken;Mango with Sticky Coconut Rice (Kao Niaw);Yam Taeng (Spicy Cucumber Salad)
parmesan cheese,Bacon and Potato Frittata with Greens;Green Risotto with Fava Beans;Rich and Simple French Onion Soup;Brilliant Sauteed Broccoli;Jamie's Minestrone;Tortellini Minestrone Soup;Easy Minestrone;Classic Minestrone Soup;Zucchini and Pork Soup;Provincial Tomatoes;Pesto Tuna Salad with Sun-Dried Tomatoes;Mama's Hearty Minestrone;Garlic Roasted Broccoli with Parmesan Cheese;Easy Quiche;Bacon Cheddar Chive Muffins;Broiled Tilapia Parmesan;Chicken Parmesan;Clark's Quiche;World's Best Lasagna;Grilled Garlic Parmesan Zucchini;Slow Cooker Vegetarian Minestrone;Andrea's Pasta Fagioli;Garlic Red Potatoes;Best Darn Minestrone Soup Around;Minestrone Soup I;Barbie's Tuna Salad;Cheesy Ham and Hash Brown Casserole;Broccoli Rabe with Roasted Peppers;Broccoli with Poppy Seed Butter and Parmesan Cheese;Garlic Mashed Cauliflower;Aussie Breakfast Egg Mess;Three Cheese Breakfast Bake;Perfect Breakfast;Creamy Pesto Shrimp;Crab Brunch Casserole;Zucchini Patties;Tomato Basil Penne Pasta;Pesto Chicken Penne Casserole;Carol's Baked Ziti Casserole;Leek Potato Mushroom Cheddar Soup;Maria's Broccoli Rabe;Oven-Roasted Asparagus;Ratatouille;Easy Bacon and Cheese Quiche;Slow Cooker Zucchini Soup;Mini Spinach and Crab Quiche;Roasted Garlic Cauliflower;Cream Corn Like No Other;Caesar Salad Supreme;Garlic Green Beans;Antipasto Pasta Salad;Macho Minestrone;Baked Ziti I;Nichole's Chicken Cauliflower Soup;Northern Fried Green Tomatoes
parsley,Eggs Benedict with Salmon;Winter Leek and Potato Soup;Chicken Tortellini Soup With Zucchini and Tomatoes;Hungarian Mushroom Soup;Smooth Cauliflower Soup;Golden Potato Soup;Perfect Fried Green Tomatoes;Summer Zucchini Stew;Cream of Cauliflower Soup II;Baked Dijon Salmon;Classic Minestrone Soup;True Maryland Crab Cakes;Provincial Tomatoes;Slow Cooker Chicken with Mushroom Wine Sauce;Cream of Cauliflower and Stilton Soup;Pumpkin Soup;Turkey Carcass Soup;Clark's Quiche;Homemade Sweet Italian Sausage (Mild or Hot);Apricot Glazed Carrots;Italian Sausage Soup with Tortellini;Navy Bean Soup I;French Onion Soup Gratinee;Authentic German Potato Salad;World's Best Lasagna;Eggplant Caponata (Sicilian Version);Spicy Garlic Lime Chicken;Grilled Garlic Parmesan Zucchini;Slow Cooker Vegetarian Minestrone;Lemon-Parsley Green Beans;Andrea's Pasta Fagioli;Oven Roasted Potatoes;The Best Bean and Ham Soup;Simple Garlic Shrimp;Best Darn Minestrone Soup Around;Minestrone Soup I;Barbie's Tuna Salad;Cauliflower Potato Soup;Perfect Ten Baked Cod;Sean's Falafel and Cucumber Sauce;Lemon-Garlic Shrimp and Grits;Greek Chicken Pasta;Crab Brunch Casserole;Minestrone Soup II;Bean Soup With Kale;Ken's Minestrone Soup;Butternut and Acorn Squash Soup;Fat Granny's Minestrone Soup;Curried Cream of Cauliflower Soup;Shrimp Scampi with Pasta;Baked Milk Fish;Spicy Edam Shrimp Quiche;Absolutely The Best Shrimp Scampi;Fried Green Tomatoes with Shrimp Remoulade;Baked Shrimp Scampi;Best Italian Sausage Soup;Zucchini Tomato Soup II;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Ratatouille;Prosciutto Fave Minestrone alla Riso ;Lemon Chicken Piccata;Beaker's Vegetable Barley Soup;Chef John's Shrimp and Grits ;Roasted Garlic Cauliflower;Lactose Free Corn Chowder;Mediterranean Zucchini 'Pasta' Salad;Easy Salsa Meatloaf;Baked Salmon II;Zucchini Soup with Herbs;Grandma's Slow Cooker Vegetarian Chili;Chef John's Minestrone Soup;Antipasto Pasta Salad;Hearty Corn and Pumpkin Soup;Paleo Baked Eggs in Avocado;Apple Stuffed Chicken Breast;Israeli Tomato and Cucumber Salad
parsnip,Winter Root Soup
pea,Irish Chicken and Dumplings;Kedgeree;Split Pea Soup;Mama Kathy's Minestrone;Day-After-Thanksgiving Turkey Carcass Soup;Split Pea Soup with Rosemary;Chicken Pot Pie IX;Campbell's Tuna Noodle Casserole
peach,Fresh Southern Peach Cobbler
peanut,Oriental Cold Noodle Salad;Authentic Pad Thai;Peanut Butter Noodles;Thai Noodle Salad;Vietnamese Rice Noodle Salad;Kecia's Broccoli Salad;Sukhothai Pad Thai;Thai Carrot Salad;Vietnamese Fresh Spring Rolls;Thai Cucumber Salad;Thai Chicken Bites With Dipping Sauce;Thai Chicken Satay
peanut butter,Peanut Butter Noodles;The Best Thai Peanut Sauce;Peanut Butter Banana Smoothie;Thai Noodle Salad;Easy Spicy Thai Slow Cooker Chicken;Chicken Satay;Slow Cooker Thai Peanut Pork;Slow Cook Thai Chicken;Chicken Massaman Curry;Chinese Cold Pasta Salad
peanut oil,Chicken Makhani (Indian Butter Chicken);Firecracker Grilled Alaska Salmon;Vegan Red Lentil Soup;Thai Spicy Basil Chicken Fried Rice
pear,Winter Green Salad;Winter Fruit Salad with Lemon Poppyseed Dressing;Roquefort Pear Salad
pecan,Make-Ahead Sour Cream Coffee Cake;Pecan Sour Cream Coffee Cake;Yummy Sweet Potato Casserole;Strawberry Bread;Baked Dijon Salmon;Blueberry Sour Cream Coffee Cake;Chef John's Sweet Potato Muffins;Holiday Chicken Salad;Quick Pumpkin Oatmeal;Sour Cream Blueberry Coffee Cake;Polish Cream Cheese Coffee Cake;Cinnamon Rolls III;Ooey-Gooey Cinnamon Buns;Roquefort Pear Salad;Sugar Coated Pecans
pepper,"Oriental Cold Noodle Salad;Eggs Benedict with Salmon;Easy Meatloaf;Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper);Roasted Beets and Sauteed Beet Greens;Bacon and Potato Frittata with Greens;Chicken Tikka Masala;Rich and Simple French Onion Soup;Delicious Egg Salad for Sandwiches;Quick and Easy Vegetable Soup;Barb's Fried Green Tomatoes with Zesty Sauce;Perfect Fried Green Tomatoes;Broccoli with Lemon Butter Sauce;Brilliant Sauteed Broccoli;Jamie's Minestrone;Summer Zucchini Stew;Pad Kee Mow (Drunkard's Noodles);Creamy Au Gratin Potatoes;Cheesy Grilled Broccoli;Fire and Ice Smoked Salmon;Baja-Style Fish Tacos;Stir-Fried Kale and Broccoli Florets;Spicy Fried Green Tomatoes;Baked Dijon Salmon;Chicken and Artichoke Minestrone;Black Bean Huevos Rancheros;Laura's Quick Slow Cooker Turkey Chili;Healthier Potato and Cauliflower Soup;Easy Minestrone;Kickin' Collard Greens;Zucchini and Pork Soup;Curried Apple and Leek Soup;Red Skinned Potato Salad;Provincial Tomatoes;Fabulous Roasted Cauliflower Soup;Green Beans with Cherry Tomatoes;Kedgeree;Slow Cooker Beef Pot Roast;Spicy Basil Chicken;Green Tomato Casserole;Sweet Potato Minestrone;Yellow Dhal - Sweet Potato Soup;Cape Malay Pickled Fish;Pork Chops with Raspberry Sauce;Firecracker Grilled Alaska Salmon;Pad Thai;Chakchouka (Shakshouka);Slow Cooker Chicken with Mushroom Wine Sauce;Shrimp and Grits With Kielbasa;Cream of Cauliflower and Stilton Soup;Black Bean and Couscous Salad;Lena's Minestrone;Russian Green Bean and Potato Soup;Mexican Zucchini Cheese Soup;Green Chile Frittata;Creamy Summer Squash Soup;Homemade Deviled Ham Sandwiches;Thai Red Curry Paste;Clark's Quiche;Homemade Sweet Italian Sausage (Mild or Hot);Khao Man Gai Thai Chicken and Rice (Healthy Version);Buttery Garlic Green Beans;Broccoli Rice Casserole;Refried Beans Without the Refry;Green Tomato Pasta Toss;Thai Chicken with Basil Stir Fry;Nan's Potato and Egg Frittata;Beef, Green Chili and Tomato Stew;One Skillet Mexican Quinoa;Lamb Chops with Balsamic Reduction;Baked Asparagus with Balsamic Butter Sauce;Oat Crusted Fish;Smoked Salmon and Egg Salad;Lemon-Parsley Green Beans;Oven Roasted Potatoes;Chef John's Ham and Potato Soup;Crabmeat Quiche;Spinach and Potato Frittata;Authentic Chicken Tikka Masala;The Best Vegetarian Chili in the World;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Simple Garlic Shrimp;Spinach Quiche;Vegan Red Lentil Soup;Spicy Grilled Broccoli;Simple Cauliflower Soup;Roasted Broccoli;Awesome Broccoli Marinara;Vegetable Beef Minestrone;Daddy's Fried Corn and Onions;Fried Broccoli;Broccoli Rabe with Roasted Peppers;Broccoli with Poppy Seed Butter and Parmesan Cheese;Gluten Free Fried Green Tomatoes;Shrimp and Veggie Stew;Vietnamese Rice Noodle Salad;Scrambled Eggs Done Right;Panang Curry with Chicken;Chicken Satay;Zucchini Soup I;Saltfish Buljol;Zucchini Gazpacho;Sean's Falafel and Cucumber Sauce;Fresh Tomato Zucchini Soup;Quick and Simple Broccoli and Cheese;Keto Instant Pot Soup (Low Carb);Three Cheese Breakfast Bake;Thai Carrot Salad;Zesty Quinoa Salad;Red Curry Coconut Squash Soup;Summer Corn Salad;Ginger Glazed Mahi Mahi;Greek Chicken Pasta;Crab Brunch Casserole;Minestrone Soup II;Curried Coconut Chicken;Bean Soup With Kale;Spicy Garlic and Pepper Shrimp;Slow Cooker Thai Peanut Pork;Amazing Muffin Cups;Shrimp Quiche;Thai Cucumber Salad;Spicy Thai Basil Chicken (Pad Krapow Gai);Bacon, Potato, and Egg Taco Ole;Shrimp Scampi with Pasta;Baked Milk Fish;Quinoa Black Bean Burgers;Spicy Edam Shrimp Quiche;Cauliflower-Cheese Soup;Tequila Shrimp;Glazed Carrots;Broccoli and Brussels Sprout Delight;Leek Potato Mushroom Cheddar Soup;Absolutely Ultimate Potato Soup;Smoked Salmon Frittata;Carrot and Ginger Soup;Best Italian Sausage Soup;Slow Cook Thai Chicken;Zucchini Tomato Soup II;Broccoli Cheese Bake;Super-Delicious Zuppa Toscana;Chef John's Stuffed Peppers;Butternut and Apple Harvest Soup;Prosciutto Fave Minestrone alla Riso ;Creamy Corn Chowder;Lemon Chicken Piccata;Savory Bacon and Crab Bread Pudding Eggs Benedict;Spicy Chipotle Sweet Potato Soup;Awesome Pasta Salad;Chef John's Shrimp and Grits ;Creamy Zucchini Soup;Sausage, Peppers, Onions, and Potato Bake;Seafood Omelets with Creamy Cheese Sauce;Lactose Free Corn Chowder;Chef John's Chicken Tikka Masala;Easy Salsa Meatloaf;Chinese Cold Pasta Salad;Hash Brown Casserole I;Fried Green Tomatoes III;Cream of Cauliflower Soup I;Easy Garlic-Lemon Scallops;Baked Buffalo Wings;Chef John's Minestrone Soup;Antipasto Pasta Salad;Vegetarian Chickpea Sandwich Filling;Thai Spicy Basil Chicken Fried Rice;Mexican Bean Salad;Ultimate Twice Baked Potatoes;Charleston Breakfast Casserole;Garlic Shrimp and Cheesy Grits;Buffalo Chicken Wing Sauce;Best White Chicken Chili;Shanghai Noodle Salad;Chicken Milano"
pimento,Classic Macaroni Salad;Awesome Pasta Salad
pineapple,Thai Pineapple Chicken Curry;Easy Pineapple Chicken;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Perfect Summer Fruit Salad
pork,Zucchini and Pork Soup;Pork Chops with Raspberry Sauce;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Homemade Sweet Italian Sausage (Mild or Hot);Honey Mustard Pork Chops;Hash Brown and Pork Chop Casserole;Slow Cooker Thai Peanut Pork;Wonton Soup;Slow Cooker Pulled Pork;Slow Cooker Carnitas;Slow Cooker Texas Pulled Pork
pork sausage,"Christmas Breakfast Sausage Casserole;Egg and Sausage Casserole;Scrambled Egg Muffins;Hash Brown and Egg Casserole;Chef John's Stuffed Peppers;Easy Sausage Gravy and Biscuits;Baked Beans, Texas Ranger"
potato,"Russian Mushroom and Potato Soup;Winter Leek and Potato Soup;Bacon and Potato Frittata with Greens;Southwestern Cauliflower and Ham Soup;Caldo de Res (Mexican Beef Soup);Quick and Easy Vegetable Soup;Barb's Fried Green Tomatoes with Zesty Sauce;Golden Potato Soup;Judy's Hearty Vegetable Minestrone Soup;Cheesiest Potato Soup;Country Sunday Breakfast Casserole;Summer Zucchini Stew;Creamy Au Gratin Potatoes;Hash Brown Casserole II;Summer Squash Soup;Cream of Cauliflower Soup II;Honey Roasted Red Potatoes;Delicious Ham and Potato Soup;Healthier Potato and Cauliflower Soup;Curried Apple and Leek Soup;Red Skinned Potato Salad;All-American Loaded Baked Potato Salad;Butternut Squash Soup II;Winter Root Soup;Awesome Slow Cooker Pot Roast Plus Extras;Slow Cooker Chicken Pot Pie Stew;Irish Chicken and Dumplings;Gnocchi I;Zucchini and Potato Bake;Split Pea Soup;Cream of Cauliflower and Stilton Soup;Lena's Minestrone;Russian Green Bean and Potato Soup;Turkey Carcass Soup;Classic Cinnamon Rolls;Sausage Casserole;Authentic German Potato Salad;Old Fashioned Potato Salad;Roasted Vegetables;Nan's Potato and Egg Frittata;Oven Roasted Potatoes;Chef John's Ham and Potato Soup;Spinach and Potato Frittata;Garlic Red Potatoes;Simple Cauliflower Soup;Hash Brown and Pork Chop Casserole;Minestrone Soup I;Cheesy Ham and Hash Brown Casserole;Bird's Nest Breakfast Cups;Cauliflower Potato Soup;Zucchini Soup I;Hash Brown and Egg Casserole;Easy Beef Stew for the Slow Cooker;Skewered Grilled Potatoes;Amazing Muffin Cups;Bacon, Potato, and Egg Taco Ole;Cheesy Amish Breakfast Casserole;Beef and Guinness Stew;Cauliflower-Cheese Soup;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Leek Potato Mushroom Cheddar Soup;Absolutely Ultimate Potato Soup;Crispy Fish;Green Squash Soup;Veggie Pesto Soup;Corrigan's Minestrone;Asparagus, Potato, and Onion Frittata;Super-Delicious Zuppa Toscana;Cream of Cauliflower Soup With Bacon Gremolata;Butternut and Apple Harvest Soup;Garden Veggie Zucchini Soup;Creamy Corn Chowder;Slow Cooker Beef Stew I;Sausage, Peppers, Onions, and Potato Bake;Chicken Massaman Curry;Lactose Free Corn Chowder;Baked Potato Soup V;Zucchini Soup with Herbs;Slow-Cooker Corned Beef and Cabbage  ;Macho Minestrone;Hearty Corn and Pumpkin Soup;Jill's Hash Brown Casserole;Nichole's Chicken Cauliflower Soup;Ultimate Twice Baked Potatoes"
prawn,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper)
provolone cheese,Rich and Simple French Onion Soup;Chicken Parmesan;Awesome Pasta Salad;Baked Ziti I
pumpkin,Downeast Maine Pumpkin Bread;Roasted Pumpkin Seeds;Pumpkin Soup;Pumpkin Bread IV;Irresistible Double Chocolate Muffins;Quick Pumpkin Oatmeal;Easy Pumpkin Pancakes;Pumpkin Waffles with Apple Cider Syrup;Pumpkin French Toast Bake;Hearty Corn and Pumpkin Soup;Applesauce Pumpkin Spice Bread 
radish,Caldo de Res (Mexican Beef Soup);Sukhothai Pad Thai
raisin,"Fresh Broccoli Salad;Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Winter Green Salad;Apple-Raisin French Toast Casserole;Ninety Minute Cinnamon Rolls;Kecia's Broccoli Salad;Monkey Bread I;Broccoli and Tortellini Salad;Alyson's Broccoli Salad;Grandma Johnson's Scones"
rapeseed,Mango with Sticky Coconut Rice (Kao Niaw)
raspberry,Pork Chops with Raspberry Sauce;Green Tomato Raspberry Jam;Blueberry Walnut Salad
red bean,Cabbage and Smoked Sausage Soup
red wine,Roasted Beets and Sauteed Beet Greens;Jamie's Minestrone;Tortellini Minestrone Soup;Easy Minestrone;Bodacious Broccoli Salad;Cape Malay Pickled Fish;Black Bean and Couscous Salad;Homemade Sweet Italian Sausage (Mild or Hot);Italian Sausage Soup with Tortellini;French Onion Soup Gratinee;Eggplant Caponata (Sicilian Version);Minestrone Soup II;Spicy Edam Shrimp Quiche;Filet Mignon with Rich Balsamic Glaze;Fantastic Black Bean Chili;Best Italian Sausage Soup;Roasted Yam and Kale Salad;Mexican Bean Salad;Roquefort Pear Salad
